2000 10010
1 157 1
1 465 1
1 604 1
1 804 1
1 1352 1
1 1571 1
1 1678 1
1 1722 1
1 1938 1
2 286 1
2 800 1
2 1248 1
2 1299 1
2 1371 1
2 1463 1
2 1942 1
3 98 1
3 664 1
3 684 1
3 791 1
3 940 1
3 1188 1
3 1236 1
3 1296 1
3 1598 1
3 1704 1
3 1824 1
4 567 1
4 664 1
4 1076 1
4 1108 1
4 1302 1
4 1414 1
4 1862 1
5 102 1
5 114 1
5 218 1
5 309 1
5 315 1
5 577 1
5 754 1
5 826 1
5 858 1
5 970 1
5 1195 1
5 1280 1
5 1336 1
5 1453 1
5 1798 1
5 1911 1
6 211 1
6 360 1
6 573 1
6 763 1
6 944 1
6 992 1
6 1190 1
6 1415 1
7 25 1
7 179 1
7 331 1
7 407 1
7 446 1
7 949 1
7 979 1
7 988 1
7 1098 1
7 1211 1
7 1340 1
7 1367 1
7 1402 1
7 1481 1
7 1793 1
7 1813 1
8 111 1
8 346 1
8 436 1
8 447 1
8 573 1
8 732 1
8 894 1
8 913 1
8 941 1
8 1102 1
8 1545 1
8 1644 1
8 1660 1
9 112 1
9 406 1
9 455 1
9 472 1
9 517 1
9 543 1
9 558 1
9 1546 1
9 1699 1
9 1887 1
10 355 1
10 515 1
10 783 1
10 911 1
10 974 1
10 1079 1
10 1367 1
10 1570 1
10 1984 1
11 275 1
11 494 1
11 530 1
11 1040 1
11 1062 1
11 1255 1
11 1443 1
11 1621 1
12 127 1
12 573 1
12 1225 1
12 1453 1
12 1675 1
12 1739 1
12 1751 1
12 1805 1
13 63 1
13 391 1
13 643 1
13 788 1
13 1240 1
13 1877 1
14 342 1
14 383 1
14 631 1
14 895 1
14 1206 1
14 1470 1
14 1565 1
14 1865 1
14 1954 1
15 86 1
15 128 1
15 131 1
15 345 1
15 1459 1
15 1737 1
15 1778 1
15 1780 1
15 1813 1
15 1991 1
16 64 1
16 122 1
16 796 1
16 884 1
16 1098 1
16 1647 1
17 146 1
17 798 1
17 1083 1
17 1461 1
17 1509 1
17 1539 1
17 1854 1
18 151 1
18 951 1
18 1082 1
18 1405 1
18 1655 1
18 1660 1
18 1734 1
18 1848 1
18 1946 1
18 1992 1
19 134 1
19 372 1
19 665 1
19 732 1
19 835 1
19 1178 1
19 1479 1
19 1965 1
20 83 1
20 205 1
20 259 1
20 295 1
20 618 1
20 644 1
20 655 1
20 766 1
20 883 1
20 884 1
20 1237 1
20 1265 1
20 1626 1
20 1937 1
21 198 1
21 489 1
21 821 1
21 953 1
21 1066 1
21 1445 1
21 1466 1
21 1469 1
21 1504 1
21 1618 1
21 1754 1
21 1864 1
21 1867 1
21 1900 1
22 337 1
22 985 1
22 988 1
22 1432 1
22 1487 1
22 1530 1
22 1774 1
23 254 1
23 362 1
23 738 1
23 769 1
23 1205 1
23 1506 1
23 1834 1
23 1882 1
24 264 1
24 663 1
24 981 1
24 998 1
24 1067 1
24 1096 1
24 1564 1
24 1645 1
24 1658 1
24 1776 1
24 1883 1
25 88 1
25 373 1
25 784 1
25 1044 1
25 1075 1
25 1333 1
25 1535 1
25 1666 1
25 1816 1
