3000 8991
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 8 1
1 9 1
1 10 1
1 14 1
1 15 1
1 16 1
1 20 1
1 26 1
1 34 1
1 36 1
1 39 1
1 48 1
1 54 1
1 57 1
1 72 1
1 78 1
1 101 1
1 115 1
1 123 1
1 129 1
1 144 1
1 165 1
1 173 1
1 215 1
1 223 1
1 225 1
1 227 1
1 293 1
1 304 1
1 306 1
1 314 1
1 317 1
1 342 1
1 367 1
1 392 1
1 411 1
1 477 1
1 553 1
1 572 1
1 594 1
1 711 1
1 715 1
1 718 1
1 765 1
1 768 1
1 776 1
1 784 1
1 820 1
1 823 1
1 883 1
1 897 1
1 961 1
1 1011 1
1 1062 1
1 1075 1
1 1105 1
1 1119 1
1 1179 1
1 1234 1
1 1247 1
1 1345 1
1 1459 1
1 1507 1
1 1526 1
1 1536 1
1 1542 1
1 1607 1
1 1621 1
1 1627 1
1 1635 1
1 1639 1
1 1660 1
1 1728 1
1 1825 1
1 1835 1
1 1880 1
1 1914 1
1 1966 1
1 2004 1
1 2026 1
1 2074 1
1 2105 1
1 2194 1
1 2382 1
1 2496 1
1 2618 1
1 2684 1
1 2717 1
1 2807 1
1 2889 1
1 2992 1
2 7 1
2 22 1
2 45 1
2 59 1
2 84 1
2 93 1
2 99 1
2 173 1
2 208 1
2 287 1
2 643 1
2 704 1
2 749 1
2 799 1
2 890 1
2 943 1
2 1032 1
2 1108 1
2 1171 1
2 1186 1
2 1388 1
2 1476 1
2 1688 1
2 2060 1
2 2303 1
3 5 1
3 6 1
3 8 1
3 59 1
3 71 1
3 76 1
3 86 1
3 122 1
3 166 1
3 315 1
3 421 1
3 502 1
3 533 1
3 588 1
3 678 1
3 788 1
3 906 1
3 960 1
3 972 1
3 1063 1
3 1306 1
3 1523 1
3 1567 1
3 1676 1
3 1824 1
3 1915 1
3 1918 1
3 2254 1
3 2497 1
3 2595 1
3 2676 1
3 2742 1
3 2833 1
4 5 1
4 6 1
4 11 1
4 17 1
4 19 1
4 21 1
4 22 1
4 23 1
4 26 1
4 38 1
4 53 1
4 58 1
4 71 1
4 79 1
4 81 1
4 89 1
4 104 1
4 113 1
4 128 1
4 150 1
4 213 1
4 216 1
4 217 1
4 221 1
4 225 1
4 236 1
4 243 1
4 251 1
4 252 1
4 282 1
4 290 1
4 296 1
4 303 1
4 308 1
4 405 1
4 435 1
4 459 1
4 462 1
4 488 1
4 527 1
4 530 1
4 555 1
4 637 1
4 652 1
4 701 1
4 713 1
4 752 1
4 791 1
4 832 1
4 841 1
4 858 1
4 872 1
4 925 1
4 1126 1
4 1179 1
4 1197 1
4 1237 1
4 1257 1
4 1286 1
4 1310 1
4 1400 1
4 1467 1
4 1548 1
4 1581 1
4 1595 1
4 1608 1
4 1678 1
4 1680 1
4 1714 1
4 1754 1
4 1872 1
4 1972 1
4 2039 1
4 2061 1
4 2167 1
4 2270 1
4 2297 1
4 2322 1
4 2378 1
4 2383 1
4 2503 1
4 2622 1
4 2664 1
4 2713 1
4 2743 1
4 2769 1
4 2797 1
4 2799 1
4 2841 1
4 2863 1
4 2864 1
4 2982 1
5 7 1
5 10 1
5 12 1
5 15 1
5 18 1
5 36 1
5 37 1
5 49 1
5 51 1
5 52 1
5 90 1
5 99 1
5 117 1
5 119 1
5 121 1
5 125 1
5 155 1
5 185 1
5 213 1
5 228 1
5 242 1
5 266 1
5 274 1
5 314 1
5 319 1
5 347 1
5 384 1
5 394 1
5 424 1
5 431 1
5 433 1
5 467 1
5 481 1
5 505 1
5 542 1
5 615 1
5 652 1
5 673 1
5 726 1
5 728 1
5 731 1
5 735 1
5 744 1
5 897 1
5 936 1
5 957 1
5 1010 1
5 1087 1
5 1177 1
5 1192 1
5 1221 1
5 1241 1
5 1266 1
5 1329 1
5 1362 1
5 1384 1
5 1399 1
5 1403 1
5 1408 1
5 1473 1
5 1534 1
5 1568 1
5 1575 1
5 1620 1
5 1694 1
5 1724 1
5 1763 1
5 1856 1
5 1857 1
5 1957 1
5 1994 1
5 2019 1
5 2040 1
5 2044 1
5 2064 1
5 2096 1
5 2127 1
5 2252 1
5 2253 1
5 2307 1
5 2313 1
5 2325 1
5 2326 1
5 2335 1
5 2367 1
5 2412 1
5 2486 1
5 2514 1
5 2544 1
5 2581 1
5 2615 1
5 2723 1
5 2765 1
5 2767 1
5 2788 1
5 2900 1
5 2972 1
5 2977 1
6 7 1
6 24 1
6 32 1
6 38 1
6 43 1
6 48 1
6 51 1
6 53 1
6 66 1
6 88 1
6 91 1
6 95 1
6 98 1
6 113 1
6 116 1
6 129 1
6 139 1
6 143 1
6 150 1
6 158 1
6 169 1
6 172 1
6 196 1
6 214 1
6 233 1
6 257 1
6 258 1
6 260 1
6 294 1
6 301 1
6 320 1
6 334 1
6 402 1
6 421 1
6 484 1
6 487 1
6 490 1
6 510 1
6 518 1
6 522 1
6 523 1
6 524 1
6 529 1
6 530 1
6 570 1
6 576 1
6 582 1
6 626 1
6 755 1
6 777 1
6 792 1
6 795 1
6 818 1
6 826 1
6 879 1
6 893 1
6 902 1
6 971 1
6 1071 1
6 1093 1
6 1180 1
6 1205 1
6 1233 1
6 1268 1
6 1391 1
6 1396 1
6 1471 1
6 1480 1
6 1521 1
6 1562 1
6 1572 1
6 1576 1
6 1657 1
6 1735 1
6 1741 1
6 1783 1
6 1821 1
6 1846 1
6 1851 1
6 1898 1
6 1952 1
6 1957 1
6 2017 1
6 2092 1
6 2173 1
6 2193 1
6 2267 1
6 2379 1
6 2458 1
6 2575 1
6 2657 1
6 2673 1
6 2677 1
6 2717 1
6 2847 1
6 2896 1
7 8 1
7 9 1
7 13 1
7 14 1
7 15 1
7 44 1
7 46 1
7 55 1
7 56 1
7 60 1
7 62 1
7 65 1
7 72 1
7 76 1
7 78 1
7 112 1
7 136 1
7 153 1
7 155 1
7 207 1
7 210 1
7 217 1
7 226 1
7 253 1
7 284 1
7 333 1
7 339 1
7 423 1
7 425 1
7 434 1
7 445 1
7 470 1
7 476 1
7 494 1
7 535 1
7 559 1
7 740 1
7 799 1
7 873 1
7 874 1
7 936 1
7 958 1
7 960 1
7 1013 1
7 1135 1
7 1148 1
7 1189 1
7 1216 1
7 1348 1
7 1367 1
7 1378 1
7 1380 1
7 1401 1
7 1567 1
7 1726 1
7 1789 1
7 1824 1
7 1982 1
7 2057 1
7 2236 1
7 2247 1
7 2312 1
7 2545 1
7 2702 1
7 2724 1
7 2783 1
7 2784 1
7 2856 1
8 9 1
8 10 1
8 11 1
8 12 1
8 16 1
8 17 1
8 18 1
8 20 1
8 29 1
8 32 1
8 35 1
8 40 1
8 41 1
8 42 1
8 46 1
8 54 1
8 62 1
8 69 1
8 77 1
8 86 1
8 93 1
8 157 1
8 160 1
8 177 1
8 181 1
8 184 1
8 204 1
8 226 1
8 238 1
8 241 1
8 262 1
8 267 1
8 269 1
8 307 1
8 310 1
8 331 1
8 353 1
8 354 1
8 397 1
8 453 1
8 513 1
8 527 1
8 533 1
8 548 1
8 574 1
8 579 1
8 597 1
8 618 1
8 620 1
8 621 1
8 633 1
8 639 1
8 646 1
8 675 1
8 802 1
8 815 1
8 847 1
8 857 1
8 925 1
8 1029 1
8 1052 1
8 1083 1
8 1108 1
8 1130 1
8 1143 1
8 1160 1
8 1191 1
8 1203 1
8 1329 1
8 1335 1
8 1345 1
8 1424 1
8 1438 1
8 1499 1
8 1588 1
8 1593 1
8 1636 1
8 1671 1
8 1687 1
8 1693 1
8 1697 1
8 1743 1
8 1749 1
8 1822 1
8 1841 1
8 1961 1
8 1974 1
8 1998 1
8 2175 1
8 2197 1
8 2199 1
8 2273 1
8 2287 1
8 2294 1
8 2399 1
8 2401 1
8 2412 1
8 2458 1
8 2470 1
8 2506 1
8 2509 1
8 2510 1
8 2561 1
8 2565 1
8 2602 1
8 2604 1
8 2640 1
8 2666 1
8 2729 1
8 2756 1
8 2775 1
8 2962 1
8 2976 1
9 24 1
9 32 1
9 36 1
9 47 1
9 50 1
9 70 1
9 80 1
9 107 1
9 114 1
9 127 1
9 170 1
9 217 1
9 219 1
9 226 1
9 229 1
9 240 1
9 257 1
9 271 1
9 348 1
9 374 1
9 388 1
9 401 1
9 520 1
9 548 1
9 549 1
9 577 1
9 595 1
9 697 1
9 791 1
9 798 1
9 845 1
9 859 1
9 862 1
9 900 1
9 931 1
9 999 1
9 1040 1
9 1056 1
9 1146 1
9 1278 1
9 1281 1
9 1309 1
9 1415 1
9 1529 1
9 1655 1
9 1779 1
9 1785 1
9 1786 1
9 1828 1
9 1848 1
9 2088 1
9 2124 1
9 2142 1
9 2305 1
9 2320 1
9 2351 1
9 2599 1
9 2601 1
9 2699 1
9 2732 1
9 2737 1
9 2777 1
9 2980 1
9 3000 1
10 11 1
10 12 1
10 13 1
10 20 1
10 25 1
10 31 1
10 45 1
10 46 1
10 49 1
10 53 1
10 55 1
10 61 1
10 64 1
10 82 1
10 87 1
10 89 1
10 91 1
10 100 1
10 103 1
10 105 1
10 106 1
10 135 1
10 141 1
10 154 1
10 159 1
10 161 1
10 175 1
10 179 1
10 180 1
10 189 1
10 199 1
10 215 1
10 220 1
10 221 1
10 227 1
10 240 1
10 249 1
10 279 1
10 295 1
10 301 1
10 302 1
10 328 1
10 348 1
10 349 1
10 351 1
10 354 1
10 360 1
10 361 1
10 396 1
10 403 1
10 416 1
10 439 1
10 444 1
10 478 1
10 497 1
10 514 1
10 543 1
10 545 1
10 622 1
10 628 1
10 637 1
10 644 1
10 673 1
10 692 1
10 736 1
10 737 1
10 815 1
10 869 1
10 882 1
10 894 1
10 917 1
10 922 1
10 926 1
10 929 1
10 945 1
10 985 1
10 1132 1
10 1159 1
10 1274 1
10 1280 1
10 1283 1
10 1364 1
10 1393 1
10 1453 1
10 1465 1
10 1507 1
10 1583 1
10 1599 1
10 1629 1
10 1664 1
10 1733 1
10 1770 1
10 1852 1
10 1962 1
10 1988 1
10 2014 1
10 2026 1
10 2088 1
10 2267 1
10 2272 1
10 2300 1
10 2321 1
10 2381 1
10 2416 1
10 2428 1
10 2449 1
10 2486 1
10 2496 1
10 2521 1
10 2573 1
10 2628 1
10 2666 1
10 2733 1
10 2872 1
10 2911 1
10 2963 1
11 16 1
11 19 1
11 21 1
11 27 1
11 30 1
11 34 1
11 39 1
11 58 1
11 95 1
11 102 1
11 108 1
11 119 1
11 156 1
11 172 1
11 176 1
11 183 1
11 194 1
11 195 1
11 196 1
11 209 1
11 216 1
11 255 1
11 259 1
11 264 1
11 267 1
11 278 1
11 292 1
11 293 1
11 314 1
11 411 1
11 426 1
11 433 1
11 461 1
11 470 1
11 519 1
11 524 1
11 592 1
11 632 1
11 654 1
11 783 1
11 804 1
11 807 1
11 874 1
11 919 1
11 1006 1
11 1049 1
11 1151 1
11 1183 1
11 1234 1
11 1239 1
11 1290 1
11 1390 1
11 1442 1
11 1459 1
11 1524 1
11 1525 1
11 1571 1
11 1575 1
11 1595 1
11 1613 1
11 1631 1
11 1691 1
11 1713 1
11 1734 1
11 1764 1
11 1785 1
11 1796 1
11 1806 1
11 1836 1
11 1843 1
11 1912 1
11 1917 1
11 2098 1
11 2110 1
11 2164 1
11 2261 1
11 2277 1
11 2682 1
11 2787 1
11 2877 1
11 2983 1
12 13 1
12 14 1
12 17 1
12 18 1
12 19 1
12 24 1
12 25 1
12 27 1
12 28 1
12 33 1
12 37 1
12 43 1
12 57 1
12 72 1
12 73 1
12 100 1
12 102 1
12 117 1
12 133 1
12 136 1
12 151 1
12 152 1
12 161 1
12 171 1
12 184 1
12 185 1
12 197 1
12 205 1
12 248 1
12 264 1
12 272 1
12 303 1
12 323 1
12 346 1
12 384 1
12 403 1
12 406 1
12 407 1
12 415 1
12 423 1
12 434 1
12 440 1
12 505 1
12 553 1
12 558 1
12 560 1
12 583 1
12 649 1
12 671 1
12 711 1
12 723 1
12 735 1
12 738 1
12 752 1
12 823 1
12 904 1
12 970 1
12 997 1
12 1005 1
12 1061 1
12 1081 1
12 1083 1
12 1105 1
12 1114 1
12 1129 1
12 1131 1
12 1180 1
12 1199 1
12 1201 1
12 1227 1
12 1344 1
12 1375 1
12 1388 1
12 1404 1
12 1433 1
12 1445 1
12 1519 1
12 1520 1
12 1555 1
12 1556 1
12 1574 1
12 1608 1
12 1638 1
12 1644 1
12 1682 1
12 1690 1
12 1729 1
12 1738 1
12 1742 1
12 1744 1
12 1751 1
12 1838 1
12 1840 1
12 1886 1
12 1906 1
12 1915 1
12 1952 1
12 2064 1
12 2092 1
12 2129 1
12 2150 1
12 2176 1
12 2178 1
12 2181 1
12 2222 1
12 2310 1
12 2365 1
12 2381 1
12 2642 1
12 2650 1
12 2692 1
12 2727 1
12 2835 1
12 2922 1
13 29 1
13 52 1
13 137 1
13 368 1
13 371 1
13 669 1
13 929 1
13 1004 1
13 1235 1
13 1339 1
13 1369 1
13 1545 1
13 1732 1
13 1943 1
13 1979 1
13 2213 1
13 2230 1
14 29 1
14 30 1
14 40 1
14 82 1
14 84 1
14 131 1
14 138 1
14 321 1
14 372 1
14 381 1
14 488 1
14 866 1
14 1325 1
14 1393 1
14 1538 1
14 1618 1
14 1696 1
14 1992 1
14 2345 1
14 2394 1
14 2424 1
14 2438 1
14 2482 1
14 2702 1
14 2708 1
14 2741 1
14 2831 1
15 22 1
15 33 1
15 35 1
15 44 1
15 55 1
15 63 1
15 65 1
15 66 1
15 77 1
15 104 1
15 113 1
15 116 1
15 125 1
15 167 1
15 176 1
15 235 1
15 243 1
15 248 1
15 266 1
15 277 1
15 307 1
15 337 1
15 361 1
15 367 1
15 369 1
15 408 1
15 446 1
15 463 1
15 479 1
15 486 1
15 565 1
15 568 1
15 612 1
15 623 1
15 659 1
15 710 1
15 741 1
15 892 1
15 939 1
15 1031 1
15 1043 1
15 1179 1
15 1318 1
15 1403 1
15 1473 1
15 1475 1
15 1527 1
15 1550 1
15 1559 1
15 1707 1
15 1731 1
15 1768 1
15 1834 1
15 1941 1
15 2042 1
15 2046 1
15 2276 1
15 2351 1
15 2475 1
15 2511 1
15 2541 1
15 2566 1
15 2730 1
15 2823 1
15 2841 1
15 2873 1
15 2899 1
15 2943 1
16 25 1
16 27 1
16 34 1
16 42 1
16 49 1
16 54 1
16 76 1
16 96 1
16 142 1
16 153 1
16 201 1
16 204 1
16 234 1
16 238 1
16 291 1
16 431 1
16 460 1
16 492 1
16 618 1
16 667 1
16 716 1
16 725 1
16 776 1
16 793 1
16 899 1
16 914 1
16 1081 1
16 1104 1
16 1133 1
16 1178 1
16 1358 1
16 1430 1
16 1533 1
16 1620 1
16 1845 1
16 1903 1
16 2154 1
16 2289 1
16 2476 1
16 2616 1
16 2682 1
16 2711 1
16 2979 1
17 26 1
17 31 1
17 33 1
17 41 1
17 68 1
17 88 1
17 129 1
17 132 1
17 134 1
17 211 1
17 233 1
17 288 1
17 386 1
17 487 1
17 586 1
17 659 1
17 747 1
17 927 1
17 959 1
17 973 1
17 1023 1
17 1043 1
17 1082 1
17 1097 1
17 1312 1
17 1318 1
17 1561 1
17 1616 1
17 1691 1
17 1702 1
17 1797 1
17 1960 1
17 2305 1
17 2350 1
17 2465 1
17 2510 1
17 2612 1
17 2626 1
17 2689 1
17 2725 1
18 51 1
18 52 1
18 131 1
18 256 1
18 443 1
18 660 1
18 817 1
18 930 1
18 948 1
18 954 1
18 959 1
18 1009 1
18 1398 1
18 1415 1
18 1709 1
18 1772 1
18 1812 1
18 1922 1
18 2107 1
18 2295 1
18 2712 1
19 21 1
19 35 1
19 101 1
19 111 1
19 112 1
19 241 1
19 355 1
19 795 1
19 833 1
19 944 1
19 1082 1
19 1142 1
19 1158 1
19 1499 1
19 1527 1
19 1557 1
19 1643 1
19 1721 1
19 2100 1
19 2803 1
19 2914 1
20 59 1
20 151 1
20 171 1
