3000 224499
1 5 1
1 8 1
1 78 1
1 84 1
1 93 1
1 99 1
1 103 1
1 140 1
1 146 1
1 147 1
1 175 1
1 178 1
1 193 1
1 197 1
1 221 1
1 224 1
1 275 1
1 279 1
1 348 1
1 379 1
1 391 1
1 462 1
1 463 1
1 494 1
1 500 1
1 504 1
1 518 1
1 543 1
1 563 1
1 579 1
1 583 1
1 603 1
1 609 1
1 621 1
1 665 1
1 670 1
1 688 1
1 726 1
1 737 1
1 747 1
1 779 1
1 826 1
1 831 1
1 851 1
1 866 1
1 879 1
1 882 1
1 901 1
1 963 1
1 978 1
1 1025 1
1 1027 1
1 1054 1
1 1055 1
1 1078 1
1 1087 1
1 1135 1
1 1189 1
1 1209 1
1 1220 1
1 1221 1
1 1238 1
1 1263 1
1 1280 1
1 1334 1
1 1337 1
1 1448 1
1 1467 1
1 1469 1
1 1476 1
1 1484 1
1 1496 1
1 1522 1
1 1554 1
1 1560 1
1 1581 1
1 1595 1
1 1614 1
1 1616 1
1 1686 1
1 1687 1
1 1692 1
1 1699 1
1 1724 1
1 1727 1
1 1729 1
1 1732 1
1 1785 1
1 1792 1
1 1859 1
1 1902 1
1 1904 1
1 1905 1
1 1906 1
1 1925 1
1 1946 1
1 1950 1
1 1984 1
1 1998 1
1 2045 1
1 2052 1
1 2068 1
1 2079 1
1 2085 1
1 2112 1
1 2116 1
1 2125 1
1 2148 1
1 2155 1
1 2170 1
1 2213 1
1 2220 1
1 2240 1
1 2258 1
1 2314 1
1 2318 1
1 2351 1
1 2419 1
1 2433 1
1 2440 1
1 2444 1
1 2457 1
1 2470 1
1 2473 1
1 2478 1
1 2482 1
1 2502 1
1 2525 1
1 2570 1
1 2607 1
1 2618 1
1 2632 1
1 2641 1
1 2642 1
1 2651 1
1 2659 1
1 2685 1
1 2703 1
1 2749 1
1 2764 1
1 2791 1
1 2815 1
1 2840 1
1 2887 1
1 2924 1
1 2955 1
1 2970 1
1 2989 1
1 2992 1
1 3000 1
2 11 1
2 81 1
2 86 1
2 89 1
2 95 1
2 118 1
2 140 1
2 158 1
2 165 1
2 226 1
2 235 1
2 249 1
2 294 1
2 313 1
2 322 1
2 330 1
2 336 1
2 352 1
2 360 1
2 372 1
2 392 1
2 420 1
2 435 1
2 468 1
2 481 1
2 524 1
2 569 1
2 572 1
2 592 1
2 595 1
2 617 1
2 628 1
2 646 1
2 653 1
2 657 1
2 659 1
2 665 1
2 675 1
2 763 1
2 783 1
2 813 1
2 826 1
2 858 1
2 878 1
2 919 1
2 944 1
2 945 1
2 962 1
2 973 1
2 987 1
2 990 1
2 1002 1
2 1014 1
2 1015 1
2 1038 1
2 1080 1
2 1104 1
2 1106 1
2 1109 1
2 1118 1
2 1122 1
2 1152 1
2 1162 1
2 1214 1
2 1217 1
2 1221 1
2 1223 1
2 1303 1
2 1321 1
2 1329 1
2 1379 1
2 1393 1
2 1402 1
2 1405 1
2 1420 1
2 1436 1
2 1475 1
2 1505 1
2 1507 1
2 1517 1
2 1525 1
2 1531 1
2 1608 1
2 1615 1
2 1634 1
2 1651 1
2 1672 1
2 1692 1
2 1693 1
2 1701 1
2 1704 1
2 1708 1
2 1718 1
2 1723 1
2 1731 1
2 1827 1
2 1840 1
2 1846 1
2 1911 1
2 1937 1
2 1939 1
2 1947 1
2 1969 1
2 1972 1
2 1979 1
2 1989 1
2 2040 1
2 2083 1
2 2084 1
2 2086 1
2 2103 1
2 2106 1
2 2144 1
2 2162 1
2 2185 1
2 2211 1
2 2242 1
2 2245 1
2 2258 1
2 2268 1
2 2280 1
2 2284 1
2 2288 1
2 2321 1
2 2328 1
2 2344 1
2 2384 1
2 2389 1
2 2394 1
2 2405 1
2 2409 1
2 2419 1
2 2426 1
2 2450 1
2 2474 1
2 2475 1
2 2477 1
2 2512 1
2 2519 1
2 2574 1
2 2603 1
2 2606 1
2 2617 1
2 2681 1
2 2689 1
2 2696 1
2 2697 1
2 2703 1
2 2706 1
2 2733 1
2 2748 1
2 2818 1
2 2820 1
2 2837 1
2 2844 1
2 2887 1
2 2894 1
2 2906 1
2 2914 1
2 2939 1
2 2972 1
2 2976 1
2 2979 1
2 2988 1
3 59 1
3 61 1
3 68 1
3 103 1
3 122 1
3 128 1
3 134 1
3 151 1
3 218 1
3 232 1
3 235 1
3 283 1
3 295 1
3 361 1
3 385 1
3 433 1
3 455 1
3 468 1
3 470 1
3 496 1
3 536 1
3 563 1
3 567 1
3 571 1
3 588 1
3 601 1
3 606 1
3 612 1
3 625 1
3 645 1
3 653 1
3 663 1
3 676 1
3 679 1
3 685 1
3 718 1
3 719 1
3 791 1
3 817 1
3 838 1
3 861 1
3 872 1
3 876 1
3 912 1
3 931 1
3 980 1
3 998 1
3 1011 1
3 1040 1
3 1080 1
3 1081 1
3 1117 1
3 1147 1
3 1166 1
3 1186 1
3 1206 1
3 1222 1
3 1231 1
3 1248 1
3 1321 1
3 1323 1
3 1346 1
3 1352 1
3 1387 1
3 1411 1
3 1426 1
3 1427 1
3 1449 1
3 1490 1
3 1494 1
3 1505 1
3 1552 1
3 1564 1
3 1565 1
3 1575 1
3 1592 1
3 1626 1
3 1649 1
3 1698 1
3 1718 1
3 1720 1
3 1723 1
3 1792 1
3 1793 1
3 1800 1
3 1805 1
3 1851 1
3 1882 1
3 1909 1
3 1955 1
3 1963 1
3 1971 1
3 2015 1
3 2036 1
3 2048 1
3 2148 1
3 2188 1
3 2192 1
3 2193 1
3 2212 1
3 2213 1
3 2231 1
3 2256 1
3 2285 1
3 2296 1
3 2310 1
3 2338 1
3 2341 1
3 2391 1
3 2396 1
3 2402 1
3 2409 1
3 2430 1
3 2464 1
3 2498 1
3 2502 1
3 2544 1
3 2556 1
3 2580 1
3 2607 1
3 2617 1
3 2621 1
3 2664 1
3 2665 1
3 2708 1
3 2724 1
3 2731 1
