3000 2899
1 1304 1
1 1026 1
1 1489 1
2 2284 1
2 1172 1
3 726 1
4 2895 1
5 1214 1
6 974 1
7 1092 1
8 643 1
9 2003 1
9 872 1
9 1832 1
9 2119 1
10 860 1
11 228 1
12 2636 1
12 938 1
13 2686 1
14 442 1
14 2682 1
15 524 1
15 1103 1
15 441 1
15 1983 1
16 235 1
17 720 1
17 790 1
17 2850 1
17 1366 1
18 1613 1
19 820 1
20 1009 1
20 1931 1
20 588 1
20 870 1
20 225 1
21 1705 1
22 1874 1
23 73 1
24 1293 1
24 898 1
24 1063 1
24 2432 1
25 481 1
25 259 1
25 144 1
26 2086 1
27 295 1
27 521 1
28 2786 1
29 2522 1
30 2936 1
30 1566 1
31 182 1
32 113 1
32 168 1
32 1733 1
32 1692 1
32 2694 1
33 1019 1
34 2522 1
34 658 1
35 1156 1
36 136 1
37 154 1
38 1401 1
38 2993 1
39 1197 1
39 921 1
40 2103 1
41 120 1
42 623 1
43 210 1
43 1909 1
43 291 1
44 1512 1
45 656 1
46 2829 1
47 864 1
47 1162 1
47 2363 1
47 485 1
47 287 1
48 1831 1
49 1126 1
50 153 1
50 322 1
50 918 1
51 2260 1
52 2922 1
53 2153 1
54 1746 1
55 1006 1
56 545 1
57 985 1
57 1031 1
58 2610 1
59 2855 1
59 2486 1
60 1213 1
60 2111 1
61 2105 1
62 1092 1
62 254 1
62 184 1
63 342 1
63 1569 1
63 295 1
63 1573 1
64 1469 1
64 1502 1
65 2835 1
65 858 1
65 258 1
66 1950 1
66 1772 1
66 1102 1
67 1603 1
68 2797 1
69 1958 1
69 1803 1
69 1916 1
69 1032 1
70 2258 1
71 384 1
72 677 1
73 998 1
74 292 1
74 529 1
74 2568 1
74 1228 1
75 1039 1
75 624 1
76 1479 1
77 750 1
78 2753 1
78 1552 1
78 1897 1
78 2941 1
79 2009 1
79 1819 1
79 2593 1
79 2344 1
79 1866 1
80 2233 1
81 756 1
82 2664 1
82 1143 1
83 1902 1
84 366 1
85 1813 1
86 1378 1
87 859 1
88 2269 1
88 1443 1
88 2434 1
89 1277 1
89 397 1
90 2588 1
91 1239 1
91 1211 1
91 93 1
91 730 1
91 2047 1
91 1311 1
91 435 1
92 220 1
94 960 1
95 2144 1
95 2938 1
95 2354 1
96 1249 1
96 2578 1
97 893 1
98 812 1
99 1533 1
99 1977 1
100 195 1
100 1900 1
100 1540 1
100 1855 1
100 1597 1
100 1333 1
101 2724 1
102 2951 1
102 2434 1
103 1305 1
103 2384 1
103 2499 1
103 1294 1
103 2225 1
103 426 1
104 2174 1
104 249 1
104 2634 1
105 216 1
105 293 1
105 142 1
105 424 1
105 2118 1
106 408 1
107 1622 1
108 2475 1
108 1587 1
108 209 1
108 1191 1
108 2325 1
108 1771 1
108 1636 1
109 386 1
110 2424 1
111 865 1
112 1967 1
112 2409 1
112 2841 1
114 2552 1
115 1646 1
116 878 1
117 1722 1
118 1230 1
118 2142 1
119 2699 1
119 998 1
120 2034 1
120 1672 1
120 452 1
121 2446 1
121 2555 1
121 220 1
122 2508 1
122 2278 1
122 1855 1
123 920 1
123 430 1
124 1265 1
125 1300 1
126 872 1
127 351 1
127 2445 1
127 1589 1
127 2384 1
128 2219 1
129 830 1
130 2498 1
131 1778 1
132 1788 1
132 2292 1
133 686 1
134 2144 1
134 1255 1
135 638 1
135 2202 1
135 322 1
135 2857 1
136 2944 1
136 437 1
137 1163 1
137 2089 1
137 2324 1
137 1240 1
137 2245 1
137 2037 1
137 1839 1
137 1704 1
138 280 1
139 2502 1
140 2553 1
141 1768 1
143 2813 1
145 876 1
146 520 1
146 2359 1
146 2833 1
147 886 1
148 826 1
149 1358 1
150 545 1
151 2196 1
152 2066 1
152 1862 1
154 2459 1
154 1532 1
155 262 1
155 495 1
155 1290 1
155 951 1
156 693 1
157 2246 1
157 1019 1
158 1576 1
159 1135 1
160 1013 1
160 1697 1
160 1282 1
160 567 1
160 1576 1
160 1340 1
160 2440 1
160 535 1
161 2228 1
162 2216 1
162 1820 1
162 872 1
163 577 1
164 464 1
164 2039 1
165 1052 1
165 992 1
165 1302 1
166 756 1
167 1616 1
169 2259 1
170 267 1
171 253 1
172 412 1
173 1684 1
174 2135 1
175 2295 1
175 1355 1
175 2244 1
176 2486 1
176 2903 1
177 543 1
178 2951 1
179 774 1
180 1128 1
181 839 1
182 532 1
182 475 1
182 2431 1
182 2698 1
182 2561 1
182 2686 1
183 1893 1
183 1694 1
183 2305 1
183 896 1
183 2486 1
184 2704 1
184 2365 1
185 2118 1
185 1958 1
185 1870 1
185 1653 1
186 273 1
187 932 1
188 1566 1
188 445 1
188 1914 1
189 2368 1
189 1552 1
190 1510 1
191 1580 1
192 856 1
193 1413 1
194 2107 1
196 247 1
196 2802 1
197 1249 1
198 2031 1
198 2807 1
198 1412 1
199 2322 1
200 1820 1
201 1939 1
201 1862 1
201 2381 1
201 1964 1
201 860 1
201 1863 1
201 1880 1
202 2882 1
203 417 1
203 2861 1
204 1372 1
205 951 1
206 2342 1
207 2509 1
208 2991 1
209 2778 1
210 1081 1
210 949 1
211 440 1
212 1138 1
212 414 1
212 2404 1
212 1770 1
212 2808 1
213 1899 1
214 1323 1
215 369 1
216 2611 1
216 1949 1
217 858 1
217 1210 1
218 2634 1
218 646 1
219 2315 1
221 1888 1
222 2797 1
223 2072 1
224 2385 1
224 277 1
224 1366 1
225 455 1
225 332 1
225 2372 1
225 2357 1
225 1907 1
226 1001 1
226 2129 1
227 2672 1
227 1524 1
228 361 1
228 989 1
228 1568 1
229 2163 1
230 2557 1
230 1284 1
230 1346 1
230 2247 1
231 2772 1
232 1130 1
233 1366 1
