3000 14196
1 696 1
1 747 1
1 1625 1
1 325 1
1 2679 1
1 1538 1
1 50 1
1 2070 1
1 2481 1
2 456 1
2 1715 1
2 2174 1
2 2065 1
2 1407 1
2 1610 1
2 2375 1
2 2591 1
2 494 1
2 535 1
2 1239 1
2 439 1
2 2377 1
3 1709 1
3 2335 1
3 2508 1
3 2256 1
3 2488 1
3 1225 1
3 2923 1
3 1756 1
3 2177 1
4 1251 1
4 2404 1
4 1018 1
4 1682 1
4 2040 1
4 968 1
4 396 1
4 2624 1
4 1353 1
4 2017 1
5 339 1
5 2290 1
5 1483 1
5 1016 1
5 741 1
5 2929 1
5 2347 1
5 1687 1
6 2702 1
6 2354 1
6 1985 1
6 1690 1
6 2278 1
6 2720 1
6 1335 1
6 1107 1
6 1176 1
6 1805 1
6 1214 1
6 523 1
6 2341 1
7 222 1
7 1841 1
7 2422 1
7 2678 1
7 455 1
8 601 1
8 2015 1
8 1219 1
8 1930 1
8 922 1
8 563 1
8 2531 1
8 2559 1
9 1728 1
9 1556 1
9 2406 1
9 235 1
9 1501 1
9 471 1
9 1619 1
9 2163 1
9 2193 1
10 815 1
10 838 1
10 1331 1
10 2061 1
10 1417 1
10 196 1
10 238 1
10 566 1
10 1730 1
10 2778 1
11 1071 1
11 2156 1
11 2130 1
11 1780 1
11 468 1
11 2363 1
11 1727 1
11 45 1
11 2560 1
11 1981 1
11 166 1
12 752 1
12 2692 1
12 935 1
12 2179 1
12 1536 1
12 1129 1
12 1663 1
12 2839 1
12 2671 1
12 1554 1
13 838 1
13 2762 1
13 1440 1
13 282 1
13 2708 1
13 2935 1
13 1468 1
13 1941 1
14 626 1
14 1394 1
14 87 1
14 972 1
14 230 1
14 1317 1
14 613 1
14 2360 1
15 551 1
15 1649 1
15 2179 1
15 92 1
15 236 1
15 1253 1
15 613 1
15 2775 1
16 1988 1
16 2097 1
16 190 1
16 2150 1
16 584 1
16 78 1
16 2998 1
16 1980 1
16 543 1
16 2847 1
16 366 1
16 758 1
17 2531 1
17 1192 1
17 29 1
17 1210 1
17 2579 1
17 1885 1
17 2018 1
18 1992 1
18 2911 1
18 2801 1
18 1183 1
18 2790 1
18 1486 1
18 536 1
18 1876 1
18 1181 1
18 804 1
19 2931 1
19 2173 1
19 1041 1
19 973 1
19 1537 1
19 1146 1
19 1296 1
19 694 1
19 1217 1
19 2359 1
19 1796 1
20 674 1
20 2534 1
20 2361 1
20 2783 1
20 482 1
20 1518 1
20 2943 1
20 222 1
21 386 1
21 1450 1
21 1390 1
21 1888 1
21 235 1
21 1165 1
21 1138 1
21 1564 1
21 524 1
21 2210 1
22 1739 1
22 1140 1
22 806 1
22 511 1
22 2211 1
22 2169 1
22 2859 1
22 1973 1
22 2555 1
22 528 1
22 2564 1
22 1446 1
23 1348 1
23 2156 1
23 2829 1
23 1714 1
23 734 1
23 857 1
23 1101 1
23 825 1
23 284 1
23 992 1
24 53 1
24 2327 1
24 1869 1
24 1128 1
24 1327 1
25 577 1
25 1943 1
25 1125 1
25 2778 1
25 1925 1
25 1625 1
25 1042 1
25 1353 1
25 1509 1
25 160 1
26 2213 1
26 1444 1
26 420 1
26 835 1
26 1767 1
26 1020 1
26 1180 1
26 51 1
26 2671 1
27 1246 1
27 1696 1
27 719 1
27 2983 1
27 771 1
27 1235 1
27 1199 1
27 2276 1
27 1334 1
27 1025 1
28 2734 1
28 2827 1
28 1445 1
28 2258 1
28 178 1
28 2588 1
28 2685 1
28 102 1
29 1066 1
29 372 1
29 1548 1
29 1608 1
29 993 1
29 36 1
29 182 1
29 1005 1
30 2288 1
30 2491 1
30 2177 1
30 173 1
30 1314 1
30 1364 1
30 1008 1
30 2402 1
30 827 1
30 1023 1
30 2946 1
31 2900 1
31 439 1
31 2209 1
31 831 1
31 2640 1
31 368 1
31 2194 1
31 587 1
31 2272 1
31 2988 1
31 699 1
31 731 1
31 790 1
32 2794 1
32 1779 1
32 1464 1
32 1722 1
32 2973 1
32 1701 1
32 1330 1
33 1187 1
33 1548 1
33 2657 1
33 2609 1
33 613 1
34 592 1
34 2323 1
34 2945 1
34 1774 1
34 328 1
34 2931 1
34 2236 1
34 1444 1
34 1017 1
34 1620 1
34 2340 1
34 1254 1
35 1410 1
35 1579 1
35 1796 1
35 2208 1
35 145 1
35 1666 1
35 1548 1
35 2805 1
35 130 1
35 2653 1
35 658 1
35 1202 1
35 1236 1
35 1934 1
35 977 1
36 2109 1
36 818 1
36 2593 1
36 1642 1
36 378 1
36 2442 1
36 1869 1
