3000 14989
1 242 1
1 406 1
1 711 1
1 963 1
1 175 1
2 2342 1
2 336 1
2 737 1
2 2129 1
2 27 1
2 1803 1
2 172 1
2 2927 1
2 1556 1
2 350 1
2 2300 1
2 2959 1
2 2137 1
2 1376 1
3 1462 1
3 1029 1
3 1546 1
3 652 1
3 2633 1
3 696 1
3 454 1
3 1871 1
4 916 1
4 2770 1
4 837 1
4 1161 1
4 1959 1
4 1415 1
4 1522 1
4 894 1
4 240 1
4 175 1
4 307 1
4 1525 1
4 2169 1
4 370 1
4 947 1
5 2440 1
5 2720 1
5 1892 1
5 2590 1
5 1340 1
5 2086 1
5 1429 1
5 2593 1
5 1585 1
5 2562 1
5 837 1
5 1493 1
5 820 1
5 2587 1
5 730 1
6 2502 1
6 543 1
6 1877 1
6 1364 1
6 2476 1
6 121 1
7 1738 1
7 1530 1
7 2755 1
7 829 1
7 88 1
7 2929 1
7 2874 1
7 634 1
7 2568 1
7 1838 1
7 2606 1
7 542 1
8 2735 1
8 2010 1
8 199 1
8 1887 1
8 2308 1
8 2826 1
8 1197 1
8 2753 1
8 1961 1
8 1296 1
8 1795 1
8 2598 1
8 2679 1
8 1955 1
8 2409 1
9 1398 1
9 2744 1
9 1601 1
9 1538 1
9 2428 1
9 1731 1
9 2467 1
9 1442 1
9 1808 1
9 29 1
9 96 1
9 956 1
9 304 1
9 2069 1
9 2885 1
10 1448 1
10 424 1
10 973 1
10 1744 1
10 2300 1
10 37 1
10 2646 1
10 2790 1
10 2772 1
10 1234 1
10 777 1
10 311 1
10 237 1
10 2097 1
10 297 1
11 20 1
11 81 1
11 391 1
11 1199 1
11 2315 1
11 174 1
11 2432 1
12 2954 1
12 876 1
12 450 1
12 1521 1
12 533 1
12 1256 1
12 705 1
13 2235 1
13 2254 1
13 1242 1
13 758 1
13 1879 1
13 1186 1
13 2944 1
13 1489 1
13 2389 1
14 2689 1
14 197 1
14 2139 1
14 1413 1
14 2261 1
14 451 1
14 1218 1
14 2077 1
14 2544 1
14 1913 1
15 1209 1
15 1996 1
15 1682 1
15 2487 1
15 922 1
15 2429 1
15 928 1
15 2766 1
15 1018 1
15 732 1
15 2452 1
16 2679 1
16 1673 1
16 2579 1
16 1535 1
16 2167 1
16 1841 1
16 2793 1
16 2848 1
16 2981 1
16 888 1
17 1814 1
17 644 1
17 1295 1
17 58 1
17 973 1
18 2795 1
18 1777 1
18 2701 1
18 2746 1
18 905 1
18 361 1
18 519 1
18 407 1
18 2110 1
18 2483 1
18 1613 1
18 1949 1
19 2907 1
19 438 1
19 2533 1
19 2250 1
19 2207 1
19 2679 1
19 1965 1
19 574 1
19 2371 1
19 2825 1
19 1729 1
19 1669 1
19 805 1
20 2807 1
20 2678 1
20 2643 1
20 404 1
20 2844 1
20 2806 1
20 2946 1
20 1557 1
20 435 1
20 729 1
20 1427 1
21 2579 1
21 1657 1
21 1159 1
21 1342 1
21 2592 1
21 1115 1
21 1222 1
21 790 1
21 1451 1
21 2410 1
21 1861 1
21 817 1
21 1382 1
21 631 1
21 356 1
22 1389 1
22 2745 1
22 1174 1
22 2247 1
22 534 1
22 367 1
22 2589 1
22 1197 1
22 1067 1
22 2559 1
22 2389 1
23 1673 1
23 1705 1
23 736 1
23 2671 1
23 856 1
23 2928 1
23 1574 1
24 2364 1
24 557 1
24 2821 1
24 1883 1
24 310 1
24 680 1
24 375 1
24 2197 1
24 345 1
24 1139 1
24 1073 1
24 2026 1
24 1665 1
24 836 1
24 2349 1
25 1152 1
25 1507 1
25 2108 1
25 1337 1
25 1691 1
25 2383 1
25 2877 1
25 1336 1
25 907 1
26 2757 1
26 1083 1
26 1926 1
26 2655 1
26 1966 1
26 2731 1
26 1629 1
26 567 1
26 2572 1
26 166 1
26 2897 1
26 292 1
26 2171 1
27 2703 1
27 2493 1
27 2125 1
27 2682 1
27 427 1
27 824 1
27 637 1
27 2078 1
27 2610 1
27 2700 1
27 1269 1
27 187 1
28 1404 1
28 2255 1
28 138 1
28 1528 1
28 2160 1
28 533 1
28 242 1
29 1631 1
29 2446 1
29 2864 1
29 1266 1
29 1006 1
29 596 1
29 440 1
29 588 1
29 341 1
29 2203 1
30 1490 1
30 2437 1
30 1861 1
30 1321 1
30 2496 1
30 1041 1
30 511 1
31 801 1
31 1527 1
31 1538 1
31 405 1
31 941 1
31 358 1
31 1165 1
31 275 1
31 115 1
31 2348 1
31 1087 1
31 2147 1
31 468 1
32 1247 1
32 2084 1
32 1290 1
32 503 1
32 1390 1
32 1061 1
32 471 1
32 1765 1
32 2237 1
32 2398 1
32 763 1
32 303 1
32 1707 1
32 2169 1
32 2633 1
33 2059 1
33 1318 1
33 293 1
33 324 1
33 858 1
33 2415 1
33 2637 1
33 196 1
33 1633 1
33 2253 1
33 1294 1
33 1440 1
33 454 1
34 1645 1
34 1152 1
34 2239 1
34 1955 1
34 893 1
34 2668 1
35 1390 1
35 2018 1
35 2142 1
35 1874 1
35 648 1
35 362 1
35 1603 1
35 1366 1
35 1323 1
35 1552 1
35 1967 1
35 1855 1
35 2748 1
35 552 1
36 1371 1
36 257 1
36 2777 1
36 1830 1
36 258 1
36 2712 1
36 2871 1
36 2472 1
36 2926 1
36 304 1
36 2120 1
36 1103 1
36 1119 1
36 552 1
37 2199 1
37 624 1
37 1504 1
37 1179 1
37 2867 1
37 2330 1
37 609 1
37 1817 1
37 313 1
37 2749 1
37 2977 1
37 2141 1
37 2336 1
